,IMDBId,movie title,language,country,runtime (mins),mpaarating,metacritic score,budget,distributionCompany,Awards,Total_Noms,writer1,writer2,director,Lead_Actor,Supporting_Actor_1,Supporting_Actor_2,genre,main_genre,subgenre,release_date,season
0,tt0091763,Platoon,English,USA,120,R,92.0,6000000.0,Orion Pictures,Best Actor in a Supporting Role,7,Oliver Stone,,Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe,Drama' 'War,Drama,War,1987-02-06,Winter
7,tt0082979,Reds,English,USA,195,PG,76.0,32000000.0,Paramount Pictures,Best Actor in a Leading Role,12,Warren Beatty,Trevor Griffiths,Warren Beatty,Warren Beatty,Diane Keaton,Edward Herrmann,Biography' 'Drama,Biography,Drama,1981-12-25,Winter
19,tt0084434,An Officer and a Gentleman,English,USA,124,R,75.0,7500000.0,Paramount Pictures,Best Actor in a Supporting Role,6,Douglas Day Stewart,,Taylor Hackford,Richard Gere,Debra Winger,David Keith,Drama' 'Romance,Drama,Romance,1982-08-13,Summer
25,tt0119360,In & Out,English,USA,90,PG-13,70.0,35000000.0,Paramount Pictures,Best Actress in a Supporting Role,1,Paul Rudnick,,Frank Oz,Kevin Kline,Joan Cusack,Tom Selleck,Comedy' 'Romance,Comedy,Romance,1997-09-19,Fall
26,tt0292542,Son of the Bride,Spanish,Argentina,123,R,68.0,11364285.714285715,Sony Pictures Classics,Best Foreign Language Film,1,Juan José Campanella,Fernando Castets,Juan José Campanella,Ricardo Darín,Héctor Alterio,Norma Aleandro,Comedy' 'Drama,Comedy,Drama,2001-08-16,Summer
27,tt1069238,Departures,Japanese,Japan,130,PG-13,68.0,,Regent Releasing,Best Foreign Language Film of the Year,1,Kundô Koyama,,Yôjirô Takita,Masahiro Motoki,Ryôko Hirosue,Tsutomu Yamazaki,Drama' 'Music,Drama,Music,2009-06-19,Summer
28,tt0108550,What's Eating Gilbert Grape,English,USA,118,PG-13,73.0,11000000.0,Paramount Pictures,Best Actor in a Supporting Role,1,Peter Hedges,Peter Hedges,Lasse Hallström,Johnny Depp,Leonardo DiCaprio,Juliette Lewis,Drama,Drama,,1994-03-04,Winter
30,tt0090203,The Trip to Bountiful,English,USA,108,PG,81.0,,Island Pictures,Best Actress in a Leading Role,2,Horton Foote,Horton Foote,Peter Masterson,Geraldine Page,John Heard,Carlin Glynn,Drama,Drama,,1986-01-24,Winter
34,tt1403865,True Grit,English,USA,110,PG-13,80.0,38000000.0,Paramount Pictures,Best Motion Picture of the Year,10,Joel Coen,Ethan Coen,Ethan Coen,Jeff Bridges,Matt Damon,Hailee Steinfeld,Drama' 'Western,Drama,Western,2010-12-22,Winter
44,tt0093010,Fatal Attraction,English,USA,119,R,67.0,14000000.0,Paramount Pictures,Best Actress in a Leading Role,6,James Dearden,James Dearden,Adrian Lyne,Michael Douglas,Glenn Close,Anne Archer,Drama' 'Thriller,Drama,Thriller,1987-09-18,Fall
50,tt2267998,Gone Girl,English,USA,149,R,79.0,61000000.0,Twentieth Century Fox,Best Performance by an Actress in a Leading Role,1,Gillian Flynn,Gillian Flynn,David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Drama' 'Mystery,Drama,Mystery,2014-10-03,Fall
51,tt0120863,The Thin Red Line,English,USA,170,R,78.0,52000000.0,The Criterion Collection,Best Cinematography,7,James Jones,Terrence Malick,Terrence Malick,Jim Caviezel,Sean Penn,Nick Nolte,Drama' 'War,Drama,War,1999-01-15,Winter
60,tt4048272,Toni Erdmann,German,Germany,162,R,93.0,11364285.714285715,Sony Pictures Classics,Best Foreign Language Film of the Year,1,Maren Ade,,Maren Ade,Sandra Hüller,Peter Simonischek,Michael Wittenborn,Comedy' 'Drama,Comedy,Drama,2016-12-25,Winter
61,tt0280778,Iris,English,UK,91,R,76.0,5500000.0,Miramax,Best Actress in a Leading Role,3,John Bayley,Richard Eyre,Richard Eyre,Judi Dench,Jim Broadbent,Kate Winslet,Biography' 'Drama,Biography,Drama,2002-03-29,Winter
64,tt0091167,Hannah and Her Sisters,English,USA,107,PG-13,90.0,6400000.0,Orion Pictures,Best Actor in a Supporting Role,7,Woody Allen,,Woody Allen,Mia Farrow,Dianne Wiest,Michael Caine,Comedy' 'Drama,Comedy,Drama,1986-03-14,Winter
