,IMDBId,movie title,language,country,runtime (mins),mpaarating,metacritic score,budget,distributionCompany,Awards,Total_Noms,writer1,writer2,director,Lead_Actor,Supporting_Actor_1,Supporting_Actor_2,genre,main_genre,subgenre,release_date,season,Award_Year,Awards_Best Actor in a Leading Role,Awards_Best Actor in a Supporting Role,Awards_Best Actress in a Leading Role,Awards_Best Art Direction-Set Decoration,Awards_Best Cinematography,Awards_Best Director,Awards_Best Film Editing,Awards_Best Motion Picture of the Year,Awards_Best Picture,Awards_Best Sound,Dir_Prev_Score,Director_Avg_Score,Total_Director_Movies,Lead_Actor_Prev_Score,Lead_Actor_Avg_Score,Total_Movies_Lead_Actor,Award_Prev_Score,Award_Avg_Score,Avg_Rating_by_Genre,Avg_Rating_by_MPAA_Rating,Avg_Rating_by_season,Avg_Rating_by_Distribution_company,Writer_Prev_Score,Avg_Rating_by_writer,Buena Vista Pictures,Columbia Pictures,Focus Features,Miramax,Paramount Pictures,Sony Pictures Classics,Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Horror,Genre_Mystery,Subgenre_Adventure,Subgenre_Comedy,Subgenre_Crime,Subgenre_Drama,Subgenre_Fantasy,Subgenre_History,Subgenre_Music,Subgenre_Mystery,Subgenre_Romance,Subgenre_Thriller,Director_Barry Levinson,Director_Clint Eastwood,Director_Martin Scorsese,Director_Ridley Scott,Director_Robert Zemeckis,Director_Ron Howard,Director_Stephen Frears,Director_Steven Spielberg,Director_Tim Burton,Director_Woody Allen,Lead_Actor_Brad Pitt,Lead_Actor_Denzel Washington,Lead_Actor_Harrison Ford,Lead_Actor_Johnny Depp,Lead_Actor_Leonardo DiCaprio,Lead_Actor_Meryl Streep,Lead_Actor_Michael Douglas,Lead_Actor_Robin Williams,Lead_Actor_Tom Cruise,Lead_Actor_Tom Hanks,Fall,Spring,Summer,Winter,G,Not Rated,PG,PG-13,R,Unrated,Writer_Aaron Sorkin,Writer_George Miller,Writer_Joel Coen,Writer_John Logan,Writer_Lawrence Kasdan,Writer_Lee Hall,Writer_Paul Thomas Anderson,Writer_Pedro Almodóvar,Writer_Quentin Tarantino,Writer_Woody Allen
0,tt0091763,Platoon,English,USA,120,R,92.0,6000000.0,Orion Pictures,Best Actor in a Supporting Role,7,Oliver Stone,,Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe,Drama' 'War,Drama,War,1987-02-06,Winter,1987.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,6,,,2,83.0,86.5,81.92307692307692,74.00187265917603,72.63362068965517,69.95238095238095,69.0,69.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,
7,tt0082979,Reds,English,USA,195,PG,76.0,32000000.0,Paramount Pictures,Best Actor in a Leading Role,12,Warren Beatty,Trevor Griffiths,Warren Beatty,Warren Beatty,Diane Keaton,Edward Herrmann,Biography' 'Drama,Biography,Drama,1981-12-25,Winter,1981.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3,,,4,64.0,66.5,73.6046511627907,69.61320754716981,72.63362068965517,66.97029702970298,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,
19,tt0084434,An Officer and a Gentleman,English,USA,124,R,75.0,7500000.0,Paramount Pictures,Best Actor in a Supporting Role,6,Douglas Day Stewart,,Taylor Hackford,Richard Gere,Debra Winger,David Keith,Drama' 'Romance,Drama,Romance,1982-08-13,Summer,1982.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2,,,4,63.0,51.5,71.075,74.00187265917603,72.34599156118144,66.97029702970298,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,
25,tt0119360,In & Out,English,USA,90,PG-13,70.0,35000000.0,Paramount Pictures,Best Actress in a Supporting Role,1,Paul Rudnick,,Frank Oz,Kevin Kline,Joan Cusack,Tom Selleck,Comedy' 'Romance,Comedy,Romance,1997-09-19,Fall,1997.0,,,,,,,,,,,81.0,81.0,2,64.0,64.0,2,61.0,71.0,60.5,69.28664495114006,72.53125,66.97029702970298,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,
26,tt0292542,Son of the Bride,Spanish,Argentina,123,R,68.0,11936764.705882356,Sony Pictures Classics,Best Foreign Language Film,1,Juan José Campanella,Fernando Castets,Juan José Campanella,Ricardo Darín,Héctor Alterio,Norma Aleandro,Comedy' 'Drama,Comedy,Drama,2001-08-16,Summer,2001.0,,,,,,,,,,,,,2,,,2,84.0,83.5,75.18518518518519,74.00187265917603,72.34599156118144,79.95454545454545,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,
27,tt1069238,Departures,Japanese,Japan,130,PG-13,68.0,,Regent Releasing,Best Foreign Language Film of the Year,1,Kundô Koyama,,Yôjirô Takita,Masahiro Motoki,Ryôko Hirosue,Tsutomu Yamazaki,Drama' 'Music,Drama,Music,2009-06-19,Summer,2009.0,,,,,,,,,,,,,1,,,1,92.0,84.0,66.48148148148148,69.28664495114006,72.34599156118144,68.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,
28,tt0108550,What's Eating Gilbert Grape,English,USA,118,PG-13,73.0,11000000.0,Paramount Pictures,Best Actor in a Supporting Role,1,Peter Hedges,Peter Hedges,Lasse Hallström,Johnny Depp,Leonardo DiCaprio,Juliette Lewis,Drama,Drama,,1994-03-04,Winter,1994.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,4,74.0,74.0,10,87.0,80.5,75.48351648351648,69.28664495114006,72.63362068965517,66.97029702970298,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,
29,tt0090203,The Trip to Bountiful,English,USA,108,PG,81.0,,Island Pictures,Best Actress in a Leading Role,2,Horton Foote,Horton Foote,Peter Masterson,Geraldine Page,John Heard,Carlin Glynn,Drama,Drama,,1986-01-24,Winter,1986.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,,,1,65.0,58.5,75.48351648351648,69.61320754716981,72.63362068965517,79.25,76.0,76.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,
31,tt1403865,True Grit,English,USA,110,PG-13,80.0,38000000.0,Paramount Pictures,Best Motion Picture of the Year,10,Joel Coen,Ethan Coen,Ethan Coen,Jeff Bridges,Matt Damon,Hailee Steinfeld,Drama' 'Western,Drama,Western,2010-12-22,Winter,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,84.0,87.5,6,49.0,66.0,8,79.0,79.0,82.0,69.28664495114006,72.63362068965517,66.97029702970298,84.0,87.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,tt0093010,Fatal Attraction,English,USA,119,R,67.0,14000000.0,Paramount Pictures,Best Actress in a Leading Role,6,James Dearden,James Dearden,Adrian Lyne,Michael Douglas,Glenn Close,Anne Archer,Drama' 'Thriller,Drama,Thriller,1987-09-18,Fall,1987.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,3,46.0,54.5,8,74.0,79.0,75.42857142857143,74.00187265917603,72.53125,66.97029702970298,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,
