,IMDBId,movie title,language,country,runtime (mins),mpaarating,metacritic score,budget,distributionCompany,Awards,Total_Noms,writer1,writer2,director,Lead_Actor,Supporting_Actor_1,Supporting_Actor_2,main_genre,subgenre,release_date,season
0,tt0091763,Platoon,71.12061855670103,70.50608930987822,120,74.00187265917603,92.0,6000000.0,69.95238095677378,73.36363636363636,78.47368421052632,77.00115199609307,73.7979094076655,71.6694573184165,73.48460785711049,72.08362676056338,79.0720034167469,72.5579268292683,80.72222186458977,1987-02-06,72.63362068965517
7,tt0082979,Reds,71.12061855670103,70.50608930987822,195,69.61320754716981,76.0,32000000.0,66.97029702970298,75.45794392523365,80.77486219309986,74.5811957250555,72.08362676056338,72.89076563219629,74.62354492090242,71.2895354770239,72.08362676056338,73.73809523809524,73.58578431372548,1981-12-25,72.63362068965517
19,tt0084434,An Officer and a Gentleman,71.12061855670103,70.50608930987822,124,74.00187265917603,75.0,7500000.0,66.97029702970298,73.36363636363636,80.625,72.08362676056338,73.7979094076655,73.48460785711049,59.620502423449096,75.6777835930005,72.08362676056338,72.5579268292683,69.69565217391305,1982-08-13,72.34599156118144
25,tt0119360,In & Out,71.12061855670103,70.50608930987822,90,69.28664495114006,70.0,35000000.0,66.97029702970298,68.26470588235297,68.6878612716763,72.08362676056338,73.7979094076655,74.5811957250555,68.36719780670046,72.08362676056338,72.08362676056338,72.17801047120419,69.69565217391305,1997-09-19,72.53125
26,tt0292542,Son of the Bride,78.12499999938004,74.86168845260804,123,74.00187265917603,68.0,11936764.705882356,79.95454545454545,70.65625000000006,68.6878612716763,72.08362676056338,72.08362676056338,73.48460785711049,73.48460785711049,72.08362676056338,72.08362676056338,72.17801047120419,73.58578431372548,2001-08-16,72.34599156118144
27,tt1069238,Departures,84.89841852905845,84.44029924262149,130,69.28664495114006,68.0,,72.08362676056338,78.31147540983606,68.6878612716763,72.08362676056338,73.7979094076655,72.08362676056338,72.08362676056338,72.08362676056338,72.08362676056338,72.5579268292683,68.51612903225839,2009-06-19,72.34599156118144
28,tt0108550,What's Eating Gilbert Grape,71.12061855670103,70.50608930987822,118,69.28664495114006,73.0,11000000.0,66.97029702970298,73.36363636363636,68.6878612716763,71.65696141053547,73.48460785711049,73.43282726237439,68.00050389739262,70.92590283190547,72.08362676056338,72.5579268292683,74.76068376068376,1994-03-04,72.63362068965517
29,tt0090203,The Trip to Bountiful,71.12061855670103,70.50608930987822,108,69.61320754716981,81.0,,78.91012849160337,71.3768115942029,70.7421052631579,76.77437146094552,72.08362676056338,72.08362676056338,72.08362676056338,72.08362676056338,72.08362676056338,72.5579268292683,74.76068376068376,1986-01-24,72.63362068965517
31,tt1403865,True Grit,71.12061855670103,70.50608930987822,110,69.28664495114006,80.0,38000000.0,66.97029702970298,82.12396694214875,83.39999059011849,77.77586824349126,78.09925761217515,83.09248953278723,70.2516705278503,79.28481212799697,72.08362676056338,72.5579268292683,72.59071240249669,2010-12-22,72.63362068965517
41,tt0093010,Fatal Attraction,71.12061855670103,70.50608930987822,119,74.00187265917603,67.0,14000000.0,66.97029702970298,71.3768115942029,80.625,72.08362676056338,72.08362676056338,58.21081433256491,62.383845056006194,66.89503242027682,70.92590283190547,72.5579268292683,74.48148148146923,1987-09-18,72.53125
